Date,Portfolio_Value
2022-03-08,227537.8772697291
2022-03-09,222586.1402131067
2022-03-10,218039.8107009665
2022-03-11,215747.8300894818
2022-03-14,217603.0210265307
2022-03-15,212140.82815383462
2022-03-16,210143.52462753805
2022-03-17,212208.92157839384
2022-03-18,211882.73354750942
2022-03-21,213987.69072902368
2022-03-22,213943.3319271984
2022-03-23,215451.96171448348
2022-03-24,211153.17936186746
2022-03-25,214004.1832506582
2022-03-28,212664.3099909763
2022-03-29,213026.8586228158
2022-03-30,214662.4258676406
2022-03-31,210667.18484684467
2022-04-01,209597.28170669943
2022-04-04,210072.1149635672
2022-04-05,214046.385333037
2022-04-06,220766.8388323751
2022-04-07,220766.83883237507
2022-04-08,220766.83883237507
2022-04-11,220766.83883237507
2022-04-12,220766.83883237507
2022-04-13,220766.83883237507
2022-04-14,220766.83883237507
2022-04-18,220766.83883237507
2022-04-19,220766.83883237507
2022-04-20,220766.83883237507
2022-04-21,220766.83883237507
2022-04-22,220766.83883237507
2022-04-25,220766.83883237507
2022-04-26,220766.83883237507
2022-04-27,220766.83883237507
2022-04-28,220766.83883237507
2022-04-29,220766.83883237507
2022-05-02,220766.83883237507
2022-05-03,220766.83883237507
2022-05-04,215631.6443610103
2022-05-05,211799.5707079345
2022-05-06,206481.93219048838
2022-05-09,201023.4136560927
2022-05-10,206794.90440076945
2022-05-11,209461.28197808098
2022-05-12,203507.085467007
2022-05-13,206249.47997432703
2022-05-16,199531.40020981268
2022-05-17,197410.76223877398
2022-05-18,197984.5586160552
2022-05-19,203060.64577711566
2022-05-20,203963.3721332111
2022-05-23,201375.49615447683
2022-05-24,196767.5339501979
2022-05-25,201856.00898278342
2022-05-26,205732.27804627214
2022-05-27,204371.83937489789
2022-05-31,203333.09368547954
2022-06-01,203217.5713770676
2022-06-02,207737.93928732807
2022-06-03,207544.0324220501
2022-06-06,208604.41210510238
2022-06-07,206491.8300941746
2022-06-08,206349.88543582917
2022-06-09,201790.464686464
2022-06-10,201691.56228371448
2022-06-13,196119.4461711028
2022-06-14,193782.9552753931
2022-06-15,196296.90615209285
2022-06-16,192915.73743211472
2022-06-17,196710.84556643618
2022-06-21,195415.1987993915
2022-06-22,193917.1753840832
2022-06-23,191814.1697187227
2022-06-24,194776.7507774813
2022-06-27,195091.60295703867
2022-06-28,194505.97858516185
2022-06-29,193539.679273264
2022-06-30,192966.1989572217
2022-07-01,194811.8958785474
2022-07-05,194835.22983671067
2022-07-06,191937.42734577827
2022-07-07,193857.57649343682
2022-07-08,193515.11649825302
2022-07-11,190572.25346508922
2022-07-12,190315.14171059715
2022-07-13,192390.69952154407
2022-07-14,189828.86678082496
2022-07-15,190602.8315860543
2022-07-18,192946.13829336793
2022-07-19,194949.83812790774
2022-07-20,196387.54548672674
2022-07-21,195084.9072466981
2022-07-22,192761.12268477792
2022-07-25,193767.21694294992
2022-07-26,186557.27461758873
2022-07-27,192408.63701349834
2022-07-28,192409.94313512533
2022-07-29,190792.35234410688
2022-08-01,188307.9535292213
2022-08-02,190328.01842660314
2022-08-03,190310.37461479247
2022-08-04,184290.56429067318
2022-08-05,185060.15257583352
2022-08-08,186354.8006543981
2022-08-09,185566.23534147092
